Designator,Mid X,Mid Y,Layer,Rotation
BT1,147.5,117.29,bottom,-90
C1,134.15,137.4,top,-90
C2,134.5,97.3,top,0
C3,139.6,84.7,top,90
C5,154.72,129.1,top,90
C6,154.9,92.4625,top,-90
C7,151.8625,137.9975,top,180
C8,151.8625,139.6875,top,180
C9,152.8,130.9875,top,-90
C10,151,130.95,top,-90
C11,157.885,105.045,top,-90
C14,143.2425,136.26,top,180
C16,134.8,156.5,top,0
D1,150.6175,87.3225,top,180
D2,131.4,162.8,top,-90
D3,155.9,104.15,top,-90
D6,139.05,139,top,-90
D7,152.95,162.93,top,-90
D8,150.75,162.93,top,-90
D10,134.2,84.5,top,90
D11,156.28,85.5725,top,90
D12,145,85.5275,top,-90
F1,134.2,77.8,top,90
F2,148.61,83.05,top,90
F3,152.62,83.11,top,90
J1,137.65,162.324999,top,180
J2,139.86,71.8275,top,0
J5,163.06,143.12,top,180
L1,138.6,143.9,top,180
L2,134.2,91.3,top,-90
Q1,146.43,95.09,top,-90
Q3,143.4925,148.1225,top,180
R1,146.6,162,top,0
R2,146.6,163.8,top,0
R3,156.44,129.1,top,-90
R4,146.245,99.5,top,0
R5,146.245,97.8,top,0
R6,141.2,97.25,top,90
R7,142.025,93.8,top,180
R9,152.85,157.8,top,90
R10,150.85,157.75,top,90
R11,152.8,101.5,top,0
R12,152.9,103.2,top,0
R13,152.785,105.97,top,180
R14,142,89.8,top,0
R15,142,91.8,top,180
R16,142.39,128.875,top,90
R17,143.2425,138.06,top,0
R18,157.71,150.92,top,0
R19,157.87,153.16,top,0
R20,143.2925,144.06,top,180
R21,131.4,158.8,top,-90
R22,131.75,154.85,top,90
R23,133.45,143.9,top,0
R24,131.3,149,top,90
R25,140.81,128.875,top,90
R26,149.29,91.6,top,180
R27,152.505,91.51,top,180
R28,161.33,81.59,top,0
SW1,133.25,105.375,top,90
SW2,133.25,128.375,top,-90
SW3,159.8,163.285,top,180
U1,152.06,116.6,top,-90
U2,151.045,96.55,top,-90
U3,138.5,91.1625,top,90
U4,143.2425,141.06,top,-90
U5,142.9375,155.55,top,0
U6,151.8,134.9875,top,-90
U7,135.1,150.6,top,90
